id	year	abstract
http://arxiv.org/abs/cond-mat/0108238v4	2001-08-26T15:01:52Z	"We argue that aspects of the anomalous, low temperature, spin and charge
dynamics of the high temperature superconductors can be understood by studying
the corresponding physics of undoped Mott insulators. Such insulators display a
quantum transition from a magnetically ordered Neel state to a confining
paramagnet with a spin gap; the latter state has bond-centered charge order, a
low energy S=1 spin exciton, confinement of S=1/2 spinons, and a free S=1/2
moment near non-magnetic impurities. We discuss how these characteristics, and
the quantum phase transitions, evolve upon doping the insulator into a d-wave
superconductor. This theoretical framework was used to make a number of
predictions for STM measurements and for the phase diagram of the doped Mott
insulator in an applied magnetic field."
http://arxiv.org/abs/cond-mat/0401041v1	2004-01-06T14:51:54Z	"This article contains a theoretical overview of the physical properties of
antiferromagnetic Mott insulators in spatial dimensions greater than one. Many
such materials have been experimentally studied in the past decade and a half,
and we make contact with these studies. The simplest class of Mott insulators
have an even number of S=1/2 spins per unit cell, and these can be described
with quantitative accuracy by the bond operator method: we discuss their spin
gap and magnetically ordered states, and the transitions between them driven by
pressure or an applied magnetic field. The case of an odd number of S=1/2 spins
per unit cell is more subtle: here the spin gap state can spontaneously develop
bond order (so the ground state again has an even number of S=1/2 spins per
unit cell), and/or acquire topological order and fractionalized excitations. We
describe the conditions under which such spin gap states can form, and survey
recent theories (T. Senthil et al., cond-mat/0312617) of the quantum phase
transitions among these states and magnetically ordered states. We describe the
breakdown of the Landau-Ginzburg-Wilson paradigm at these quantum critical
points, accompanied by the appearance of emergent gauge excitations."
http://arxiv.org/abs/1006.0675v1	2010-06-03T15:24:44Z	"A new renormalization group approach that maps lattice problems to tensor
networks may hold the key to solving seemingly intractable models of strongly
correlated systems in any dimension. A Physics Viewpoint on arXiv:0903.1069"
http://arxiv.org/abs/cond-mat/0304137v2	2003-04-09T12:42:43Z	"This is a summary of a central argument in recent review articles by the
author (cond-mat/0109419, cond-mat/0211005, and cond-mat/0211027). An effective
field theory is derived for the low energy spin singlet excitations in a
paramagnetic Mott insulator with collinear spin correlations."
http://arxiv.org/abs/cond-mat/0304171v1	2003-04-07T23:29:13Z	"A unified perspective is given on a number of different problems involving
the coupling of a localized quantum spin degree of freedom to the low energy
excitations of an antiferromagnet, a spin glass, or a Kondo insulator. The
problems are related to those in the class often referred to as ""Bose Kondo""."
http://arxiv.org/abs/cond-mat/0109309v3	2001-09-25T06:41:55Z	"We discuss the possibility of spin glass order in the vicinity of the
unexpected metallic state of the two-dimensional electron gas in zero applied
magnetic field. An average ferromagnetic moment may also be present, and the
spin glass order then resides in the plane orthogonal to the ferromagnetic
moment. We argue that a quantum transition involving the destruction of the
spin glass order in an applied in-plane magnetic field offers a natural
explanation of some features of recent magnetoconductance measurements. We
present a quantum field theory for such a transition and compute its mean field
properties."
http://arxiv.org/abs/cond-mat/0109419v2	2001-11-23T20:41:18Z	"We review the theories of a few quantum phase transitions in two-dimensional
correlated electron systems and discuss their application to the cuprate high
temperature superconductors. The coupled-ladder antiferromagnet displays a
transition between the Neel state and a spin gap paramagnet with a sharp S=1
exciton: we develop a careful argument which eventually establishes that this
transition is described by the familiar O(3) \phi^4 field theory in 2+1
dimensions. Crucial to this argument is the role played by the quantum Berry
phases. We illustrate this role in a one-dimensional example where our results
can tested against those known from bosonization. On bipartite lattices in two
dimensions, we study the influence of Berry phases on the quantum transition
involving the loss of Neel order, and show that they induce bond-centered
charge order (e.g. spin Peierls order) in the paramagnetic phase. We extend
this theory of magnetic transitions in insulators to that between an ordinary
d-wave superconductor and one with co-existing spin-density-wave order.
Finally, we discuss quantum transitions between superconductors involving
changes in the Cooper pair wavefunction, as in a transition between d_{x^2-y^2}
and d_{x^2-y^2}+id_{xy} superconductors. A mean-field theory for this
transition is provided by the usual BCS theory; however, BCS theory fails near
the critical point, and we present the required field-theoretic extension. Our
discussion includes a perspective on the phase diagram of the cuprate
superconductors, in the context of recent experiments and the transitions
discussed here."
http://arxiv.org/abs/cond-mat/0110161v2	2001-10-10T14:58:48Z	"We review the non-zero temperature relaxational dynamics of quantum systems
near a zero temperature, second-order phase transition. We begin with the
quantum Ising chain, for which universal and exact results for the relaxation
rates can be obtained in all the distinct limiting regimes of the phase
diagram. Next, we describe the crossovers in the electron spectral function
near a transition involving a change in the pairing symmetry of BCS
superconductors in two dimensions. Finally, we consider dynamic spin models
which may provide a mean-field description of magnetic ordering transitions in
the heavy fermion compounds."
http://arxiv.org/abs/cond-mat/0203363v3	2003-10-16T12:23:00Z	"I summarize recent results, obtained with E. Demler, K. Park, A. Polkovnikov,
M. Vojta, and Y. Zhang, on spin and charge correlations near a magnetic quantum
phase transition in the cuprates. STM experiments on slightly overdoped BSCCO
(J.E. Hoffman et al., Science 295, 466 (2002)) are consistent with the
nucleation of static charge order coexisting with dynamic spin correlations
around vortices, and neutron scattering experiments have measured the magnetic
field dependence of static spin order in the underdoped regime in LSCO (B. Lake
et al., Nature 415, 299 (2002)) and LaCuO_4+y (B. Khaykovich et al., Phys. Rev.
B 66, 014528 (2002)). Our predictions provide a semi-quantitative description
of these observations, with only a single parameter measuring distance from the
quantum critical point changing with doping level. These results suggest that a
common theory of competing spin, charge and superconducting orders provides a
unified description of all the cuprates."
http://arxiv.org/abs/0901.4103v6	2009-04-23T14:03:32Z	"I survey theoretical advances in our understanding of the quantum phases and
phase transitions of Mott insulators, and of allied conducting systems obtained
by doping charge carriers. A number of new experimental examples of Mott
insulators have appeared in recent years, and I critically compare their
observed properties with the theoretical expectations."
id	year	abstract
http://arxiv.org/abs/cond-mat/0108238v4	2001-08-26T15:01:52Z	"We argue that aspects of the anomalous, low temperature, spin and charge
dynamics of the high temperature superconductors can be understood by studying
the corresponding physics of undoped Mott insulators. Such insulators display a
quantum transition from a magnetically ordered Neel state to a confining
paramagnet with a spin gap; the latter state has bond-centered charge order, a
low energy S=1 spin exciton, confinement of S=1/2 spinons, and a free S=1/2
moment near non-magnetic impurities. We discuss how these characteristics, and
the quantum phase transitions, evolve upon doping the insulator into a d-wave
superconductor. This theoretical framework was used to make a number of
predictions for STM measurements and for the phase diagram of the doped Mott
insulator in an applied magnetic field."
http://arxiv.org/abs/cond-mat/0401041v1	2004-01-06T14:51:54Z	"This article contains a theoretical overview of the physical properties of
antiferromagnetic Mott insulators in spatial dimensions greater than one. Many
such materials have been experimentally studied in the past decade and a half,
and we make contact with these studies. The simplest class of Mott insulators
have an even number of S=1/2 spins per unit cell, and these can be described
with quantitative accuracy by the bond operator method: we discuss their spin
gap and magnetically ordered states, and the transitions between them driven by
pressure or an applied magnetic field. The case of an odd number of S=1/2 spins
per unit cell is more subtle: here the spin gap state can spontaneously develop
bond order (so the ground state again has an even number of S=1/2 spins per
unit cell), and/or acquire topological order and fractionalized excitations. We
describe the conditions under which such spin gap states can form, and survey
recent theories (T. Senthil et al., cond-mat/0312617) of the quantum phase
transitions among these states and magnetically ordered states. We describe the
breakdown of the Landau-Ginzburg-Wilson paradigm at these quantum critical
points, accompanied by the appearance of emergent gauge excitations."
http://arxiv.org/abs/1006.0675v1	2010-06-03T15:24:44Z	"A new renormalization group approach that maps lattice problems to tensor
networks may hold the key to solving seemingly intractable models of strongly
correlated systems in any dimension. A Physics Viewpoint on arXiv:0903.1069"
http://arxiv.org/abs/cond-mat/0304137v2	2003-04-09T12:42:43Z	"This is a summary of a central argument in recent review articles by the
author (cond-mat/0109419, cond-mat/0211005, and cond-mat/0211027). An effective
field theory is derived for the low energy spin singlet excitations in a
paramagnetic Mott insulator with collinear spin correlations."
http://arxiv.org/abs/cond-mat/0304171v1	2003-04-07T23:29:13Z	"A unified perspective is given on a number of different problems involving
the coupling of a localized quantum spin degree of freedom to the low energy
excitations of an antiferromagnet, a spin glass, or a Kondo insulator. The
problems are related to those in the class often referred to as ""Bose Kondo""."
http://arxiv.org/abs/cond-mat/0109309v3	2001-09-25T06:41:55Z	"We discuss the possibility of spin glass order in the vicinity of the
unexpected metallic state of the two-dimensional electron gas in zero applied
magnetic field. An average ferromagnetic moment may also be present, and the
spin glass order then resides in the plane orthogonal to the ferromagnetic
moment. We argue that a quantum transition involving the destruction of the
spin glass order in an applied in-plane magnetic field offers a natural
explanation of some features of recent magnetoconductance measurements. We
present a quantum field theory for such a transition and compute its mean field
properties."
http://arxiv.org/abs/cond-mat/0109419v2	2001-11-23T20:41:18Z	"We review the theories of a few quantum phase transitions in two-dimensional
correlated electron systems and discuss their application to the cuprate high
temperature superconductors. The coupled-ladder antiferromagnet displays a
transition between the Neel state and a spin gap paramagnet with a sharp S=1
exciton: we develop a careful argument which eventually establishes that this
transition is described by the familiar O(3) \phi^4 field theory in 2+1
dimensions. Crucial to this argument is the role played by the quantum Berry
phases. We illustrate this role in a one-dimensional example where our results
can tested against those known from bosonization. On bipartite lattices in two
dimensions, we study the influence of Berry phases on the quantum transition
involving the loss of Neel order, and show that they induce bond-centered
charge order (e.g. spin Peierls order) in the paramagnetic phase. We extend
this theory of magnetic transitions in insulators to that between an ordinary
d-wave superconductor and one with co-existing spin-density-wave order.
Finally, we discuss quantum transitions between superconductors involving
changes in the Cooper pair wavefunction, as in a transition between d_{x^2-y^2}
and d_{x^2-y^2}+id_{xy} superconductors. A mean-field theory for this
transition is provided by the usual BCS theory; however, BCS theory fails near
the critical point, and we present the required field-theoretic extension. Our
discussion includes a perspective on the phase diagram of the cuprate
superconductors, in the context of recent experiments and the transitions
discussed here."
http://arxiv.org/abs/cond-mat/0110161v2	2001-10-10T14:58:48Z	"We review the non-zero temperature relaxational dynamics of quantum systems
near a zero temperature, second-order phase transition. We begin with the
quantum Ising chain, for which universal and exact results for the relaxation
rates can be obtained in all the distinct limiting regimes of the phase
diagram. Next, we describe the crossovers in the electron spectral function
near a transition involving a change in the pairing symmetry of BCS
superconductors in two dimensions. Finally, we consider dynamic spin models
which may provide a mean-field description of magnetic ordering transitions in
the heavy fermion compounds."
http://arxiv.org/abs/cond-mat/0203363v3	2003-10-16T12:23:00Z	"I summarize recent results, obtained with E. Demler, K. Park, A. Polkovnikov,
M. Vojta, and Y. Zhang, on spin and charge correlations near a magnetic quantum
phase transition in the cuprates. STM experiments on slightly overdoped BSCCO
(J.E. Hoffman et al., Science 295, 466 (2002)) are consistent with the
nucleation of static charge order coexisting with dynamic spin correlations
around vortices, and neutron scattering experiments have measured the magnetic
field dependence of static spin order in the underdoped regime in LSCO (B. Lake
et al., Nature 415, 299 (2002)) and LaCuO_4+y (B. Khaykovich et al., Phys. Rev.
B 66, 014528 (2002)). Our predictions provide a semi-quantitative description
of these observations, with only a single parameter measuring distance from the
quantum critical point changing with doping level. These results suggest that a
common theory of competing spin, charge and superconducting orders provides a
unified description of all the cuprates."
http://arxiv.org/abs/0901.4103v6	2009-04-23T14:03:32Z	"I survey theoretical advances in our understanding of the quantum phases and
phase transitions of Mott insulators, and of allied conducting systems obtained
by doping charge carriers. A number of new experimental examples of Mott
insulators have appeared in recent years, and I critically compare their
observed properties with the theoretical expectations."
http://arxiv.org/abs/0910.0846v2	2009-11-14T11:39:41Z	"I discuss a proposed phase diagram of the cuprate superconductors as a
function of temperature, carrier concentration, and a strong magnetic field
perpendicular to the layers. I show how the phase diagram gives a unified
interpretation of a number of recent experiments."
http://arxiv.org/abs/0910.1139v2	2010-05-15T09:00:02Z	"I review a variety of model systems and their quantum critical points,
motivated by recent experimental and theoretical developments. These are used
to present a general discussion of the non-zero temperature crossovers in the
vicinity of a quantum critical point. Insights are drawn from the exact
solutions of quantum critical transport obtained from the AdS/CFT
correspondence. I conclude with a discussion of the role of quantum criticality
in the phase diagram of the cuprate superconductors"
http://arxiv.org/abs/1006.3794v3	2010-08-10T22:27:59Z	"We show that there is a close correspondence between the physical properties
of holographic metals near charged black holes in anti-de Sitter (AdS) space,
and the fractionalized Fermi liquid phase of the lattice Anderson model. The
latter phase has a ""small"" Fermi surface of conduction electrons, along with a
spin liquid of local moments. This correspondence implies that certain
mean-field gapless spin liquids are states of matter at non-zero density
realizing the near-horizon, AdS_2 x R^2 physics of Reissner-Nordstrom black
holes."
http://arxiv.org/abs/1012.0299v5	2011-04-29T13:22:27Z	"I present a pedagogical survey of a variety of quantum phases of the Hubbard
model. The honeycomb lattice model has a conformal field theory connecting the
semi-metal to the insulator with Neel order. States with fractionalized
excitations are linked to the deconfined phases of gauge theories. I also
consider the confining phases of such gauge theories, and show how Berry phases
of monopoles induce valence bond solid order. The triangular lattice model can
display a metal-insulator transition from a Fermi liquid to a deconfined spin
liquid, and I describe the theory of this transition. The bilayer triangular
lattice is used to illustrate another compressible metallic phase, the
`fractionalized Fermi liquid'. I make numerous connections of these phases and
critical points to the AdS/CFT correspondence. In particular, I argue that two
recent holographic constructions connect respectively to the Fermi liquid and
fractionalized Fermi liquid phases."
http://arxiv.org/abs/1105.1793v1	2011-05-09T20:41:10Z	"I give a unified perspective on the properties of a variety of quantum
liquids using the theory of quantum phase transitions. A central role is played
by a zero density quantum critical point which is argued to control the
properties of the dilute gas. An exact renormalization group analysis of such
quantum critical points leads to a computation of the universal properties of
the dilute Bose gas and the spinful Fermi gas near a Feshbach resonance."
